keys,en,es
appScreenDashboard,Dashboard,Panel de inicio
appScreenCalendar,Calendar, Calendario
appScreenContacts,Contacts,Contactos
appScreenGallery,Photo Gallery,Galeria de Fotos
appScreenJournal,Journal,Diario
appScreenSettings,Settings,Ajustes
actionLogout,Logout,Desconectar
loginHostName,Monica Host,Servidor de Monica
loginApiToken,API Token,Token de la API
loginErrorHostnameInvalid,Whoops! The hostname appears to be invalid,¡Uyyy! El nombre del servidor parece incorrecto
loginErrorConnectionFailed,Looks like something went wrong. Check your internet connection and API Key,
coreLoading,Loading,Cargando
coreNoData,No data,Sin datos
dashboardRecentContacts,Recent Contacts,Contactos Recientes
dashboardSummary,Summary,Resumen
contactUnknownBirthdate,Birthday not set,Fecha de cumpleaños desconocido